MG-silicon, at plant | Scenario: 2025, pessimistic, BAU
electricity, hard coal plant 500MW class post CCS, 200km & 2500m deplet gasfield | Scenario: 2025, very optimistic, Renew | U
electricity, hard coal plant 500MW class post CCS, 200km & 2500m deplet gasfield | Scenario: 2050, pessimistic, 440ppm
electricity, hard coal plant 500MW class post CCS, 200km & 2500m deplet gasfield | Scenario: 2050, pessimistic, 440ppm | U
electricity, hard coal plant 500MW class post CCS, 200km & 2500m deplet gasfield | Scenario: 2050, pessimistic, BAU
electricity, hard coal plant 500MW class post CCS, 200km & 2500m deplet gasfield | Scenario: 2050, pessimistic, BAU | U
electricity, hard coal plant 500MW class post CCS, 200km & 2500m deplet gasfield | Scenario: 2050, realistic-optimistic, 440ppm
electricity, hard coal plant 500MW class post CCS, 200km & 2500m deplet gasfield | Scenario: 2050, realistic-optimistic, 440ppm | U
electricity, hard coal plant 500MW class post CCS, 200km & 2500m deplet gasfield | Scenario: 2050, very optimistic, 440ppm
electricity, hard coal plant 500MW class post CCS, 200km & 2500m deplet gasfield | Scenario: 2050, very optimistic, 440ppm | U
electricity, hard coal plant 500MW class post CCS, 200km & 2500m deplet gasfield | Scenario: 2050, very optimistic, Renew
electricity, hard coal plant 500MW class post CCS, 200km & 2500m deplet gasfield | Scenario: 2050, very optimistic, Renew | U
electricity, hard coal plant 500MW class post CCS, 400km & 2500m deplet gasfield | Scenario: 2025, pessimistic, 440ppm
electricity, hard coal plant 500MW class post CCS, 400km & 2500m deplet gasfield | Scenario: 2025, pessimistic, 440ppm | U
electricity, hard coal plant 500MW class post CCS, 400km & 2500m deplet gasfield | Scenario: 2025, pessimistic, BAU
